negotiation_date,sold_price,product,day,month,year
2014-03-05,0.0,,5,3,2014
2014-03-06,286.0,Polpa Cítrica,6,3,2014
2014-03-07,281.0,Polpa Cítrica,7,3,2014
2014-03-08,305.0,Polpa Cítrica,8,3,2014
2014-03-09,309.25,Polpa Cítrica,9,3,2014
2014-03-10,285.0,Polpa Cítrica,10,3,2014
2014-03-11,268.67,Polpa Cítrica,11,3,2014
2014-03-12,260.83,Polpa Cítrica,12,3,2014
2014-03-13,0.0,,13,3,2014
2014-03-16,0.0,,16,3,2014
2014-03-17,0.0,,17,3,2014
2014-03-18,0.0,,18,3,2014
2014-03-19,0.0,,19,3,2014
2014-03-20,0.0,,20,3,2014
2014-03-22,0.0,,22,3,2014
2014-03-23,0.0,,23,3,2014
2014-03-24,0.0,,24,3,2014
2014-03-25,0.0,,25,3,2014
2014-03-26,0.0,,26,3,2014
2014-03-27,0.0,,27,3,2014
2014-03-28,0.0,,28,3,2014
2014-03-29,0.0,,29,3,2014
2014-03-30,0.0,,30,3,2014
2014-04-01,285.0,Polpa Cítrica,1,4,2014
2014-04-02,335.71,Polpa Cítrica,2,4,2014
2014-04-03,0.0,,3,4,2014
2014-04-04,545.5,Polpa Cítrica,4,4,2014
2014-04-05,0.0,,5,4,2014
2014-04-06,337.0,Polpa Cítrica,6,4,2014
2014-04-07,323.71,Polpa Cítrica,7,4,2014
2014-04-08,0.0,,8,4,2014
2014-04-09,306.25,Polpa Cítrica,9,4,2014
2014-04-10,0.0,,10,4,2014
2014-04-11,254.6,Polpa Cítrica,11,4,2014
2014-04-12,260.0,Polpa Cítrica,12,4,2014
2014-04-13,0.0,,13,4,2014
2014-04-14,0.0,,14,4,2014
2014-04-15,0.0,,15,4,2014
2014-04-16,0.0,,16,4,2014
2014-04-18,0.0,,18,4,2014
2014-04-19,0.0,,19,4,2014
2014-04-20,0.0,,20,4,2014
2014-04-21,0.0,,21,4,2014
2014-04-22,0.0,,22,4,2014
2014-04-23,0.0,,23,4,2014
2014-04-24,0.0,,24,4,2014
2014-04-27,0.0,,27,4,2014
2014-05-01,295.0,Polpa Cítrica,1,5,2014
2014-05-02,350.67,Polpa Cítrica,2,5,2014
2014-05-03,0.0,,3,5,2014
2014-05-04,551.5,Polpa Cítrica,4,5,2014
2014-05-05,0.0,,5,5,2014
2014-05-06,289.17,Polpa Cítrica,6,5,2014
2014-05-07,305.2,Polpa Cítrica,7,5,2014
2014-05-08,304.33,Polpa Cítrica,8,5,2014
2014-05-09,307.33,Polpa Cítrica,9,5,2014
2014-05-10,0.0,,10,5,2014
2014-05-11,263.6,Polpa Cítrica,11,5,2014
2014-05-12,251.42,Polpa Cítrica,12,5,2014
2014-05-18,0.0,,18,5,2014
2014-05-20,0.0,,20,5,2014
2014-05-22,0.0,,22,5,2014
2014-05-23,0.0,,23,5,2014
2014-06-01,292.0,Polpa Cítrica,1,6,2014
2014-06-02,344.25,Polpa Cítrica,2,6,2014
2014-06-03,453.0,Polpa Cítrica,3,6,2014
2014-06-04,0.0,,4,6,2014
2014-06-05,0.0,,5,6,2014
2014-06-06,290.0,Polpa Cítrica,6,6,2014
2014-06-07,305.0,Polpa Cítrica,7,6,2014
2014-06-08,317.5,Polpa Cítrica,8,6,2014
2014-06-09,335.0,Polpa Cítrica,9,6,2014
2014-06-10,315.0,Polpa Cítrica,10,6,2014
2014-06-11,255.7,Polpa Cítrica,11,6,2014
2014-06-12,285.33,Polpa Cítrica,12,6,2014
2014-07-01,305.67,Polpa Cítrica,1,7,2014
2014-07-02,358.5,Polpa Cítrica,2,7,2014
2014-07-03,455.33,Polpa Cítrica,3,7,2014
2014-07-04,543.0,Polpa Cítrica,4,7,2014
2014-07-05,0.0,,5,7,2014
2014-07-06,302.8,Polpa Cítrica,6,7,2014
2014-07-07,299.5,Polpa Cítrica,7,7,2014
2014-07-08,340.0,Polpa Cítrica,8,7,2014
2014-07-09,320.0,Polpa Cítrica,9,7,2014
2014-07-10,304.5,Polpa Cítrica,10,7,2014
2014-07-11,245.5,Polpa Cítrica,11,7,2014
2014-07-12,255.0,Polpa Cítrica,12,7,2014
2014-07-20,0.0,,20,7,2014
2014-08-01,280.0,Polpa Cítrica,1,8,2014
2014-08-02,0.0,,2,8,2014
2014-08-03,460.0,Polpa Cítrica,3,8,2014
2014-08-04,528.33,Polpa Cítrica,4,8,2014
2014-08-05,0.0,,5,8,2014
2014-08-06,327.5,Polpa Cítrica,6,8,2014
2014-08-07,0.0,,7,8,2014
2014-08-08,301.67,Polpa Cítrica,8,8,2014
2014-08-09,0.0,,9,8,2014
2014-08-10,305.0,Polpa Cítrica,10,8,2014
2014-08-11,256.25,Polpa Cítrica,11,8,2014
2014-08-12,248.33,Polpa Cítrica,12,8,2014
2014-08-18,0.0,,18,8,2014
2014-08-24,0.0,,24,8,2014
2014-08-28,0.0,,28,8,2014
2014-09-01,292.5,Polpa Cítrica,1,9,2014
2014-09-02,0.0,,2,9,2014
2014-09-03,0.0,,3,9,2014
2014-09-04,525.0,Polpa Cítrica,4,9,2014
2014-09-05,0.0,,5,9,2014
2014-09-06,335.0,Polpa Cítrica,6,9,2014
2014-09-07,320.0,Polpa Cítrica,7,9,2014
2014-09-08,293.5,Polpa Cítrica,8,9,2014
2014-09-09,309.56,Polpa Cítrica,9,9,2014
2014-09-10,287.4,Polpa Cítrica,10,9,2014
2014-09-11,0.0,,11,9,2014
2014-09-12,261.67,Polpa Cítrica,12,9,2014
2014-09-14,0.0,,14,9,2014
2014-09-28,0.0,,28,9,2014
2014-10-01,245.0,Polpa Cítrica,1,10,2014
2014-10-02,340.0,Polpa Cítrica,2,10,2014
2014-10-03,458.0,Polpa Cítrica,3,10,2014
2014-10-04,0.0,,4,10,2014
2014-10-05,0.0,,5,10,2014
2014-10-06,280.0,Polpa Cítrica,6,10,2014
2014-10-07,315.0,Polpa Cítrica,7,10,2014
2014-10-08,0.0,,8,10,2014
2014-10-09,300.0,Polpa Cítrica,9,10,2014
2014-10-10,309.0,Polpa Cítrica,10,10,2014
2014-10-11,259.43,Polpa Cítrica,11,10,2014
2014-10-12,325.0,Polpa Cítrica,12,10,2014
2014-11-01,276.5,Polpa Cítrica,1,11,2014
2014-11-02,340.0,Polpa Cítrica,2,11,2014
2014-11-03,0.0,,3,11,2014
2014-11-04,475.0,Polpa Cítrica,4,11,2014
2014-11-05,0.0,,5,11,2014
2014-11-06,310.0,Polpa Cítrica,6,11,2014
2014-11-07,305.0,Polpa Cítrica,7,11,2014
2014-11-08,300.67,Polpa Cítrica,8,11,2014
2014-11-09,302.5,Polpa Cítrica,9,11,2014
2014-11-10,264.25,Polpa Cítrica,10,11,2014
2014-11-11,265.43,Polpa Cítrica,11,11,2014
2014-11-12,281.67,Polpa Cítrica,12,11,2014
2014-11-24,0.0,,24,11,2014
2014-12-01,285.0,Polpa Cítrica,1,12,2014
2014-12-02,368.0,Polpa Cítrica,2,12,2014
2014-12-03,470.0,Polpa Cítrica,3,12,2014
2014-12-04,516.25,Polpa Cítrica,4,12,2014
2014-12-05,0.0,,5,12,2014
2014-12-06,0.0,,6,12,2014
2014-12-07,320.0,Polpa Cítrica,7,12,2014
2014-12-08,308.5,Polpa Cítrica,8,12,2014
2014-12-09,309.5,Polpa Cítrica,9,12,2014
2014-12-10,230.0,Polpa Cítrica,10,12,2014
2014-12-11,245.33,Polpa Cítrica,11,12,2014
2014-12-12,273.33,Polpa Cítrica,12,12,2014
2014-12-25,0.0,,25,12,2014
2014-12-26,0.0,,26,12,2014
2014-12-28,0.0,,28,12,2014
2014-12-30,0.0,,30,12,2014
2014-13-02,401.86,Polpa Cítrica,13,2,2014
2014-13-05,280.0,Polpa Cítrica,13,5,2014
2014-13-06,345.0,Polpa Cítrica,13,6,2014
2014-13-07,304.0,Polpa Cítrica,13,7,2014
2014-13-08,301.67,Polpa Cítrica,13,8,2014
2014-13-09,307.5,Polpa Cítrica,13,9,2014
2014-13-10,302.0,Polpa Cítrica,13,10,2014
2014-13-11,242.25,Polpa Cítrica,13,11,2014
2014-13-12,315.0,Polpa Cítrica,13,12,2014
2014-14-02,438.5,Polpa Cítrica,14,2,2014
2014-14-03,430.0,Polpa Cítrica,14,3,2014
2014-14-05,426.25,Polpa Cítrica,14,5,2014
2014-14-06,306.5,Polpa Cítrica,14,6,2014
2014-14-07,305.0,Polpa Cítrica,14,7,2014
2014-14-08,314.67,Polpa Cítrica,14,8,2014
2014-14-10,251.4,Polpa Cítrica,14,10,2014
2014-14-11,252.67,Polpa Cítrica,14,11,2014
2014-14-12,278.33,Polpa Cítrica,14,12,2014
2014-15-01,305.0,Polpa Cítrica,15,1,2014
2014-15-02,415.0,Polpa Cítrica,15,2,2014
2014-15-03,523.0,Polpa Cítrica,15,3,2014
2014-15-05,307.5,Polpa Cítrica,15,5,2014
2014-15-06,320.0,Polpa Cítrica,15,6,2014
2014-15-07,306.75,Polpa Cítrica,15,7,2014
2014-15-08,318.75,Polpa Cítrica,15,8,2014
2014-15-09,299.67,Polpa Cítrica,15,9,2014
2014-15-10,276.25,Polpa Cítrica,15,10,2014
2014-15-11,235.0,Polpa Cítrica,15,11,2014
2014-15-12,295.0,Polpa Cítrica,15,12,2014
2014-16-05,310.5,Polpa Cítrica,16,5,2014
2014-16-06,316.67,Polpa Cítrica,16,6,2014
2014-16-07,302.6,Polpa Cítrica,16,7,2014
2014-16-08,328.33,Polpa Cítrica,16,8,2014
2014-16-09,322.5,Polpa Cítrica,16,9,2014
2014-16-10,263.67,Polpa Cítrica,16,10,2014
2014-16-11,255.5,Polpa Cítrica,16,11,2014
2014-16-12,298.33,Polpa Cítrica,16,12,2014
2014-17-02,421.62,Polpa Cítrica,17,2,2014
2014-17-04,525.0,Polpa Cítrica,17,4,2014
2014-17-05,345.0,Polpa Cítrica,17,5,2014
2014-17-06,336.25,Polpa Cítrica,17,6,2014
2014-17-07,306.0,Polpa Cítrica,17,7,2014
2014-17-08,305.0,Polpa Cítrica,17,8,2014
2014-17-09,310.67,Polpa Cítrica,17,9,2014
2014-17-10,276.5,Polpa Cítrica,17,10,2014
2014-17-11,241.33,Polpa Cítrica,17,11,2014
2014-17-12,311.0,Polpa Cítrica,17,12,2014
2014-18-02,423.11,Polpa Cítrica,18,2,2014
2014-18-06,317.75,Polpa Cítrica,18,6,2014
2014-18-07,313.0,Polpa Cítrica,18,7,2014
2014-18-09,310.0,Polpa Cítrica,18,9,2014
2014-18-10,256.0,Polpa Cítrica,18,10,2014
2014-18-11,295.0,Polpa Cítrica,18,11,2014
2014-18-12,304.17,Polpa Cítrica,18,12,2014
2014-19-02,340.0,Polpa Cítrica,19,2,2014
2014-19-05,350.0,Polpa Cítrica,19,5,2014
2014-19-06,311.5,Polpa Cítrica,19,6,2014
2014-19-07,297.4,Polpa Cítrica,19,7,2014
2014-19-08,325.0,Polpa Cítrica,19,8,2014
2014-19-09,307.56,Polpa Cítrica,19,9,2014
2014-19-10,255.0,Polpa Cítrica,19,10,2014
2014-19-11,258.0,Polpa Cítrica,19,11,2014
2014-19-12,290.0,Polpa Cítrica,19,12,2014
2014-20-06,336.8,Polpa Cítrica,20,6,2014
2014-20-08,315.0,Polpa Cítrica,20,8,2014
2014-20-09,319.83,Polpa Cítrica,20,9,2014
2014-20-10,248.0,Polpa Cítrica,20,10,2014
2014-20-11,257.5,Polpa Cítrica,20,11,2014
2014-20-12,310.0,Polpa Cítrica,20,12,2014
2014-21-01,335.0,Polpa Cítrica,21,1,2014
2014-21-02,403.33,Polpa Cítrica,21,2,2014
2014-21-03,515.0,Polpa Cítrica,21,3,2014
2014-21-05,310.0,Polpa Cítrica,21,5,2014
2014-21-06,305.0,Polpa Cítrica,21,6,2014
2014-21-07,298.5,Polpa Cítrica,21,7,2014
2014-21-08,317.5,Polpa Cítrica,21,8,2014
2014-21-09,297.0,Polpa Cítrica,21,9,2014
2014-21-10,246.4,Polpa Cítrica,21,10,2014
2014-21-11,258.0,Polpa Cítrica,21,11,2014
2014-21-12,315.0,Polpa Cítrica,21,12,2014
2014-22-01,338.5,Polpa Cítrica,22,1,2014
2014-22-02,423.5,Polpa Cítrica,22,2,2014
2014-22-06,317.5,Polpa Cítrica,22,6,2014
2014-22-07,293.0,Polpa Cítrica,22,7,2014
2014-22-08,313.33,Polpa Cítrica,22,8,2014
2014-22-09,315.0,Polpa Cítrica,22,9,2014
2014-22-10,277.0,Polpa Cítrica,22,10,2014
2014-22-11,241.5,Polpa Cítrica,22,11,2014
2014-22-12,299.0,Polpa Cítrica,22,12,2014
2014-23-01,336.75,Polpa Cítrica,23,1,2014
2014-23-06,340.67,Polpa Cítrica,23,6,2014
2014-23-07,311.0,Polpa Cítrica,23,7,2014
2014-23-08,295.0,Polpa Cítrica,23,8,2014
2014-23-09,302.5,Polpa Cítrica,23,9,2014
2014-23-10,255.88,Polpa Cítrica,23,10,2014
2014-23-11,270.0,Polpa Cítrica,23,11,2014
2014-23-12,294.5,Polpa Cítrica,23,12,2014
2014-24-01,330.0,Polpa Cítrica,24,1,2014
2014-24-02,428.75,Polpa Cítrica,24,2,2014
2014-24-05,277.0,Polpa Cítrica,24,5,2014
2014-24-06,292.4,Polpa Cítrica,24,6,2014
2014-24-07,313.83,Polpa Cítrica,24,7,2014
2014-24-09,310.0,Polpa Cítrica,24,9,2014
2014-24-10,265.56,Polpa Cítrica,24,10,2014
2014-24-12,247.0,Polpa Cítrica,24,12,2014
2014-25-04,515.0,Polpa Cítrica,25,4,2014
2014-25-05,330.0,Polpa Cítrica,25,5,2014
2014-25-06,309.8,Polpa Cítrica,25,6,2014
2014-25-07,305.5,Polpa Cítrica,25,7,2014
2014-25-08,306.5,Polpa Cítrica,25,8,2014
2014-25-09,309.33,Polpa Cítrica,25,9,2014
2014-25-10,270.75,Polpa Cítrica,25,10,2014
2014-25-11,261.88,Polpa Cítrica,25,11,2014
2014-26-02,415.0,Polpa Cítrica,26,2,2014
2014-26-04,515.0,Polpa Cítrica,26,4,2014
2014-26-05,350.0,Polpa Cítrica,26,5,2014
2014-26-06,305.5,Polpa Cítrica,26,6,2014
2014-26-07,321.25,Polpa Cítrica,26,7,2014
2014-26-08,291.0,Polpa Cítrica,26,8,2014
2014-26-09,305.2,Polpa Cítrica,26,9,2014
2014-26-10,236.5,Polpa Cítrica,26,10,2014
2014-26-11,265.57,Polpa Cítrica,26,11,2014
2014-27-01,320.0,Polpa Cítrica,27,1,2014
2014-27-05,278.5,Polpa Cítrica,27,5,2014
2014-27-06,326.58,Polpa Cítrica,27,6,2014
2014-27-07,320.0,Polpa Cítrica,27,7,2014
2014-27-08,305.0,Polpa Cítrica,27,8,2014
2014-27-09,305.67,Polpa Cítrica,27,9,2014
2014-27-10,273.33,Polpa Cítrica,27,10,2014
2014-27-11,259.33,Polpa Cítrica,27,11,2014
2014-27-12,295.0,Polpa Cítrica,27,12,2014
2014-28-01,356.25,Polpa Cítrica,28,1,2014
2014-28-04,494.0,Polpa Cítrica,28,4,2014
2014-28-05,322.33,Polpa Cítrica,28,5,2014
2014-28-06,307.17,Polpa Cítrica,28,6,2014
2014-28-07,295.67,Polpa Cítrica,28,7,2014
2014-28-10,292.6,Polpa Cítrica,28,10,2014
2014-28-11,260.0,Polpa Cítrica,28,11,2014
2014-29-04,500.0,Polpa Cítrica,29,4,2014
2014-29-05,328.25,Polpa Cítrica,29,5,2014
2014-29-06,305.0,Polpa Cítrica,29,6,2014
2014-29-07,298.22,Polpa Cítrica,29,7,2014
2014-29-08,301.38,Polpa Cítrica,29,8,2014
2014-29-09,315.0,Polpa Cítrica,29,9,2014
2014-29-10,262.8,Polpa Cítrica,29,10,2014
2014-29-11,255.0,Polpa Cítrica,29,11,2014
2014-29-12,237.0,Polpa Cítrica,29,12,2014
2014-30-01,330.0,Polpa Cítrica,30,1,2014
2014-30-04,495.0,Polpa Cítrica,30,4,2014
2014-30-05,320.0,Polpa Cítrica,30,5,2014
2014-30-06,303.25,Polpa Cítrica,30,6,2014
2014-30-07,291.25,Polpa Cítrica,30,7,2014
2014-30-08,326.0,Polpa Cítrica,30,8,2014
2014-30-09,310.25,Polpa Cítrica,30,9,2014
2014-30-10,260.33,Polpa Cítrica,30,10,2014
2014-30-11,286.67,Polpa Cítrica,30,11,2014
2014-31-01,314.64,Polpa Cítrica,31,1,2014
2014-31-05,315.25,Polpa Cítrica,31,5,2014
2014-31-07,307.12,Polpa Cítrica,31,7,2014
2014-31-08,315.0,Polpa Cítrica,31,8,2014
2014-31-10,265.27,Polpa Cítrica,31,10,2014
2015-01-01,0.0,,1,1,2015
2015-01-02,0.0,,2,1,2015
2015-01-03,0.0,,3,1,2015
2015-01-04,360.0,Polpa Cítrica,4,1,2015
2015-01-05,375.0,Polpa Cítrica,5,1,2015
2015-01-06,0.0,,6,1,2015
2015-01-07,263.33,Polpa Cítrica,7,1,2015
2015-01-08,270.0,Polpa Cítrica,8,1,2015
2015-01-09,250.0,Polpa Cítrica,9,1,2015
2015-01-10,262.0,Polpa Cítrica,10,1,2015
2015-01-11,275.33,Polpa Cítrica,11,1,2015
2015-01-12,280.83,Polpa Cítrica,12,1,2015
2015-01-23,0.0,,23,1,2015
2015-01-25,0.0,,25,1,2015
2015-02-01,0.0,,1,2,2015
2015-02-02,0.0,,2,2,2015
2015-02-03,380.0,Polpa Cítrica,3,2,2015
2015-02-04,360.0,Polpa Cítrica,4,2,2015
2015-02-05,0.0,,5,2,2015
2015-02-06,263.43,Polpa Cítrica,6,2,2015
2015-02-07,260.82,Polpa Cítrica,7,2,2015
2015-02-08,0.0,,8,2,2015
2015-02-09,250.33,Polpa Cítrica,9,2,2015
2015-02-10,271.83,Polpa Cítrica,10,2,2015
2015-02-11,0.0,,11,2,2015
2015-02-12,280.0,Polpa Cítrica,12,2,2015
2015-02-15,0.0,,15,2,2015
2015-02-16,0.0,,16,2,2015
2015-02-17,0.0,,17,2,2015
2015-02-19,0.0,,19,2,2015
2015-02-20,0.0,,20,2,2015
2015-02-21,0.0,,21,2,2015
2015-02-22,0.0,,22,2,2015
2015-02-23,0.0,,23,2,2015
2015-02-25,0.0,,25,2,2015
2015-02-29,0.0,,29,2,2015
2015-02-30,0.0,,30,2,2015
2015-03-01,0.0,,1,3,2015
2015-03-02,0.0,,2,3,2015
2015-03-03,0.0,,3,3,2015
2015-03-04,0.0,,4,3,2015
2015-03-05,0.0,,5,3,2015
2015-03-06,267.6,Polpa Cítrica,6,3,2015
2015-03-07,258.33,Polpa Cítrica,7,3,2015
2015-03-08,261.67,Polpa Cítrica,8,3,2015
2015-03-09,244.0,Polpa Cítrica,9,3,2015
2015-03-10,262.0,Polpa Cítrica,10,3,2015
2015-03-11,0.0,,11,3,2015
2015-03-12,274.86,Polpa Cítrica,12,3,2015
2015-03-13,0.0,,13,3,2015
2015-03-14,0.0,,14,3,2015
2015-03-15,0.0,,15,3,2015
2015-03-16,0.0,,16,3,2015
2015-03-20,0.0,,20,3,2015
2015-03-21,0.0,,21,3,2015
2015-03-22,0.0,,22,3,2015
2015-03-23,0.0,,23,3,2015
2015-03-25,0.0,,25,3,2015
2015-03-26,0.0,,26,3,2015
2015-04-01,0.0,,1,4,2015
2015-04-02,0.0,,2,4,2015
2015-04-03,0.0,,3,4,2015
2015-04-04,0.0,,4,4,2015
2015-04-05,0.0,,5,4,2015
2015-04-06,0.0,,6,4,2015
2015-04-07,265.0,Polpa Cítrica,7,4,2015
2015-04-08,254.0,Polpa Cítrica,8,4,2015
2015-04-09,253.33,Polpa Cítrica,9,4,2015
2015-04-10,267.5,Polpa Cítrica,10,4,2015
2015-04-11,270.0,Polpa Cítrica,11,4,2015
2015-04-12,278.5,Polpa Cítrica,12,4,2015
2015-04-20,0.0,,20,4,2015
2015-04-21,0.0,,21,4,2015
2015-04-26,0.0,,26,4,2015
2015-04-28,0.0,,28,4,2015
2015-05-01,0.0,,1,5,2015
2015-05-02,347.5,Polpa Cítrica,2,5,2015
2015-05-03,370.0,Polpa Cítrica,3,5,2015
2015-05-04,0.0,,4,5,2015
2015-05-05,350.0,Polpa Cítrica,5,5,2015
2015-05-06,275.0,Polpa Cítrica,6,5,2015
2015-05-07,261.1,Polpa Cítrica,7,5,2015
2015-05-08,267.17,Polpa Cítrica,8,5,2015
2015-05-09,240.0,Polpa Cítrica,9,5,2015
2015-05-10,267.5,Polpa Cítrica,10,5,2015
2015-05-11,260.0,Polpa Cítrica,11,5,2015
2015-05-12,284.17,Polpa Cítrica,12,5,2015
2015-05-17,0.0,,17,5,2015
2015-05-24,0.0,,24,5,2015
2015-06-01,310.0,Polpa Cítrica,1,6,2015
2015-06-02,365.0,Polpa Cítrica,2,6,2015
2015-06-03,373.33,Polpa Cítrica,3,6,2015
2015-06-04,0.0,,4,6,2015
2015-06-05,0.0,,5,6,2015
2015-06-06,276.5,Polpa Cítrica,6,6,2015
2015-06-07,285.0,Polpa Cítrica,7,6,2015
2015-06-08,245.0,Polpa Cítrica,8,6,2015
2015-06-09,0.0,,9,6,2015
2015-06-10,274.0,Polpa Cítrica,10,6,2015
2015-06-11,277.5,Polpa Cítrica,11,6,2015
2015-06-12,281.0,Polpa Cítrica,12,6,2015
2015-06-21,0.0,,21,6,2015
2015-06-28,0.0,,28,6,2015
2015-07-01,303.8,Polpa Cítrica,1,7,2015
2015-07-02,352.5,Polpa Cítrica,2,7,2015
2015-07-03,380.0,Polpa Cítrica,3,7,2015
2015-07-04,356.5,Polpa Cítrica,4,7,2015
2015-07-05,328.33,Polpa Cítrica,5,7,2015
2015-07-06,0.0,,6,7,2015
2015-07-07,267.5,Polpa Cítrica,7,7,2015
2015-07-08,235.91,Polpa Cítrica,8,7,2015
2015-07-09,0.0,,9,7,2015
2015-07-10,270.83,Polpa Cítrica,10,7,2015
2015-07-11,281.0,Polpa Cítrica,11,7,2015
2015-07-12,277.73,Polpa Cítrica,12,7,2015
2015-07-19,0.0,,19,7,2015
2015-08-01,295.0,Polpa Cítrica,1,8,2015
2015-08-02,0.0,,2,8,2015
2015-08-03,0.0,,3,8,2015
2015-08-04,351.67,Polpa Cítrica,4,8,2015
2015-08-05,347.5,Polpa Cítrica,5,8,2015
2015-08-06,0.0,,6,8,2015
2015-08-07,267.5,Polpa Cítrica,7,8,2015
2015-08-08,238.0,Polpa Cítrica,8,8,2015
2015-08-09,257.5,Polpa Cítrica,9,8,2015
2015-08-10,272.5,Polpa Cítrica,10,8,2015
2015-08-11,0.0,,11,8,2015
2015-08-12,283.33,Polpa Cítrica,12,8,2015
2015-08-16,0.0,,16,8,2015
2015-08-22,0.0,,22,8,2015
2015-08-23,0.0,,23,8,2015
2015-09-01,307.0,Polpa Cítrica,1,9,2015
2015-09-02,382.9,Polpa Cítrica,2,9,2015
2015-09-03,0.0,,3,9,2015
2015-09-04,352.67,Polpa Cítrica,4,9,2015
2015-09-05,336.0,Polpa Cítrica,5,9,2015
2015-09-06,267.0,Polpa Cítrica,6,9,2015
2015-09-07,268.33,Polpa Cítrica,7,9,2015
2015-09-08,237.77,Polpa Cítrica,8,9,2015
2015-09-09,265.2,Polpa Cítrica,9,9,2015
2015-09-10,280.0,Polpa Cítrica,10,9,2015
2015-09-11,0.0,,11,9,2015
2015-09-12,286.88,Polpa Cítrica,12,9,2015
2015-09-15,0.0,,15,9,2015
2015-09-20,0.0,,20,9,2015
2015-10-01,310.22,Polpa Cítrica,1,10,2015
2015-10-02,0.0,,2,10,2015
2015-10-03,375.0,Polpa Cítrica,3,10,2015
2015-10-04,350.0,Polpa Cítrica,4,10,2015
2015-10-05,0.0,,5,10,2015
2015-10-06,271.0,Polpa Cítrica,6,10,2015
2015-10-07,261.25,Polpa Cítrica,7,10,2015
2015-10-08,235.0,Polpa Cítrica,8,10,2015
2015-10-09,280.0,Polpa Cítrica,9,10,2015
2015-10-10,267.78,Polpa Cítrica,10,10,2015
2015-10-11,273.29,Polpa Cítrica,11,10,2015
2015-10-12,275.0,Polpa Cítrica,12,10,2015
2015-11-01,0.0,,1,11,2015
2015-11-02,370.0,Polpa Cítrica,2,11,2015
2015-11-03,385.0,Polpa Cítrica,3,11,2015
2015-11-04,364.0,Polpa Cítrica,4,11,2015
2015-11-05,340.0,Polpa Cítrica,5,11,2015
2015-11-06,262.5,Polpa Cítrica,6,11,2015
2015-11-07,262.5,Polpa Cítrica,7,11,2015
2015-11-08,247.69,Polpa Cítrica,8,11,2015
2015-11-09,250.0,Polpa Cítrica,9,11,2015
2015-11-10,0.0,,10,11,2015
2015-11-11,276.0,Polpa Cítrica,11,11,2015
2015-11-12,285.59,Polpa Cítrica,12,11,2015
2015-11-30,0.0,,30,11,2015
2015-12-01,315.0,Polpa Cítrica,1,12,2015
2015-12-02,351.43,Polpa Cítrica,2,12,2015
2015-12-03,400.0,Polpa Cítrica,3,12,2015
2015-12-04,0.0,,4,12,2015
2015-12-05,332.62,Polpa Cítrica,5,12,2015
2015-12-06,0.0,,6,12,2015
2015-12-07,0.0,,7,12,2015
2015-12-08,242.45,Polpa Cítrica,8,12,2015
2015-12-09,251.25,Polpa Cítrica,9,12,2015
2015-12-10,0.0,,10,12,2015
2015-12-11,274.41,Polpa Cítrica,11,12,2015
2015-12-12,284.38,Polpa Cítrica,12,12,2015
2015-12-25,0.0,,25,12,2015
2015-12-26,0.0,,26,12,2015
2015-12-27,0.0,,27,12,2015
2015-12-28,0.0,,28,12,2015
2015-12-29,0.0,,29,12,2015
2015-12-30,0.0,,30,12,2015
2015-13-01,320.0,Polpa Cítrica,13,1,2015
2015-13-02,360.0,Polpa Cítrica,13,2,2015
2015-13-04,357.6,Polpa Cítrica,13,4,2015
2015-13-05,336.32,Polpa Cítrica,13,5,2015
